github.name,github.score,github.size,github.forks,github.open_issues,github.watchers,github.stars
rdp/ffmpeg-windows-build-helpers,1,2157,222,9,502,502
halide/Halide,1,100673,617,528,3061,3061
cpputest/cpputest,1,9350,327,213,652,652
PX4/Firmware,1,105424,7590,559,2664,2664
syoyo/tinyobjloader,1,6332,313,13,1443,1443
syoyo/tinyobjloader,1,6332,313,13,1443,1443
pje/WavTap,1,4530,81,35,710,710
richardghirst/PiBits,1,388,518,53,715,715
mscdex/node-mariasql,1,7032,75,57,489,489
pgmodeler/pgmodeler,1,29619,250,385,1772,1772
owncloud/client,1,174305,584,594,1133,1133
XhmikosR/notepad2-mod,1,12397,203,102,1064,1064
fanout/pushpin,1,3318,96,11,2515,2515
fanout/pushpin,1,3318,96,11,2515,2515
bwall/HashPump,1,63,110,3,730,730
chukong/quick-cocos2d-x,1,485360,883,13,1417,1417
FreeCAD/FreeCAD,1,779590,1373,22,3951,3951
miguelbalboa/rfid,1,1707,929,30,1566,1566
miguelbalboa/rfid,1,1707,929,30,1566,1566
mgbellemare/Arcade-Learning-Environment,1,6252,264,48,1177,1177
mgbellemare/Arcade-Learning-Environment,1,6252,264,48,1177,1177
GarageGames/Torque3D,1,200952,1223,365,2988,2988
zuhd-org/easyloggingpp,1,30180,583,198,2113,2113
ldiqual/tesseract-ios,1,9767,120,1,585,585
zdevito/terra,1,6603,150,102,1912,1912
zdevito/terra,1,6603,150,102,1912,1912
CleverRaven/Cataclysm-DDA,1,1711785,1810,1350,3087,3087
alibaba/tair,1,3843,483,0,1226,1226
alibaba/tair,1,3843,483,0,1226,1226
progschj/ThreadPool,1,309,791,25,2223,2223
progschj/ThreadPool,1,309,791,25,2223,2223
OSGeo/gdal,1,230124,672,154,1217,1217
RehabMan/OS-X-Voodoo-PS2-Controller,1,1937,171,2,407,407
gdbinit/MachOView,1,4986,333,11,1196,1196
gdbinit/MachOView,1,4986,333,11,1196,1196
cloudera/Impala,1,15051168,825,21,2165,2165
trishume/eyeLike,1,256,261,13,627,627
woboq/woboq_codebrowser,1,951,96,21,682,682
alecthomas/entityx,1,2644,240,13,1490,1490
alecthomas/entityx,1,2644,240,13,1490,1490
wang-bin/QtAV,1,14768,929,392,1969,1969
rethinkdb/rethinkdb,1,278338,1733,1466,22237,22237
hrydgard/ppsspp,1,108179,1302,918,4424,4424
audreyt/node-webworker-threads,1,371,137,61,2031,2031
audreyt/node-webworker-threads,1,371,137,61,2031,2031
RPCS3/rpcs3,1,57371,1141,447,6588,6588
Studio3T/robomongo,1,36583,653,616,7468,7468
bloomberg/bde,1,100833,216,18,1008,1008
jwise/HoRNDIS,1,168,159,46,1542,1542
jwise/HoRNDIS,1,168,159,46,1542,1542
ros-planning/navigation,1,5342,963,104,677,677
ponylang/ponyc,1,15192,328,264,3759,3759
visualfc/liteide,1,14782,713,275,5369,5369
